ID	Blueberry_Type	Place	Year	VitB9	VitK	VitE	VitB3	VitB1	VitC	VitA	Temp	Rainfall
ID1	Atlantic	Rockport	2020	64.4	14.13	68.98	117.47	27.27	5.6	64.35	27.92	39.02
ID2	Atlantic	Rockport	2020	65.19	14.23	67.61	115.51	26.8	5.7	67	27.92	39.02
ID3	Atlantic	Rockport	2020	64.61	14.7	68.1	115.54	27.035	5.5	65.67	27.92	39.02
ID4	Atlantic	Rockport	2020	65.89	15.64	79.71	85.22	13.38	5.8	63.41	24.03	32.77
ID5	Atlantic	Rockport	2020	63.95	14.52	79.98	83.68	14.01	6.1	65.94	24.03	32.77
ID6	Atlantic	Rockport	2020	66.88	15.29	79.22	82.31	13.695	6.1	64.68	24.03	32.77
ID7	Atlantic	Rockport	2021	64.3	19.75	78.77	110.33	26.8	7	66.67	30.33	58.47
ID8	Atlantic	Rockport	2021	65.71	20.48	79.64	111.58	26.8	7.1	70.76	30.33	58.47
ID9	Atlantic	Rockport	2021	67.57	20.86	74.07	112.97	26.8	6.9	68.71	30.33	58.47
ID10	Atlantic	Rockport	2021	65.61	20.13	88.51	136.87	27.97	6.9	63.07	26.94	60.35
ID11	Atlantic	Rockport	2021	65.38	15.64	88.35	137.59	25.73	6.8	59.9	26.94	60.35
ID12	Atlantic	Rockport	2021	65.38	21.27	87.97	135.72	26.85	7	61.49	26.94	60.35
ID13	Dixi	Rockport	2020	53.91	14.99	69.63	93.7	2.84	5.5	48.82	25.72	108.8
ID14	Dixi	Arkham	2020	54.45	14.98	68.35	91.96	2.77	5.6	51.7		108.8
ID15	Dixi	Arkham	2020	52.16	15.74	70.38	89.8	2.805	5.2	50.26	25.72	108.8
ID16	Dixi	Dunwich	2020	54.31	16.5	80.97	84.25	2.73	5.3	68.9	26.36	107.18
ID17	Dixi	Dunwich	2020	53.54	18.34	79.9	83.19	2.78	5.5	69.87	26.36	107.18
ID18	Dixi	Dunwich	2020	54.27	15.52	79.43	83.79	2.755	5.3	69.39	26.36	107.18
ID19	Dixi	Arkham	2021	53.97	21.52	77.05	79.87	2.73	5.9	63.46	26.37	90.67
ID20	Dixi	Arkham	2021	56.84	27.06	81.07	76.9	2.4	6.1	64.13	26.37	90.67
ID21	Dixi	Arkham	2021	56.08	22.15	80.07	83.19	2.565	6	63.79	26.37	90.67
ID22	Dixi	Dunwich	2021	60.18	21.39	80.18	81.36	2.26	5.8	69.89	27.32	87.56
ID23	Dixi	Dunwich	2021	59.71	23.58	81.19	82.81	2.92	5.9	70.68	27.32	87.56
ID24	Dixi	Dunwich	2021	59.68	21.55	73.69	82.53	2.59	6	70.28	27.32	87.56
ID25	Dixi	Arkham	2022	53.76	18	78.66	82.4	2.51	6.3	69.62	26.525	41.4
ID26	Dixi	Arkham	2022	53.46	17.32	78.82	81.85	2.58	6.1	66.55	26.525	41.4
ID27	Dixi	Arkham	2022	53.4	17.72	78.77	82.08	2.545	5.9	68.09	26.525	41.4
ID28	Dixi	Dunwich	2022	56.8	19.74	78.86	84.32	3.53	5.8	63.98	26.26	91.34
ID29	Dixi	Dunwich	2022	56.98	16.89	78.72	83.83	3.04	5.7	62.81	26.26	91.34
ID30	Dixi	Dunwich	2022	56.55	16.92	78.78	84.15	3.285	5.8	63.39	26.26	91.34
ID31	Gorgias	Dunwich	2020	53.7	9.51	66.4	74.75	3.9	18.7	23.32	25.68	97.5
ID32	Gorgias	Arkham	2020	56.03	9.97	70.59	75.64	3.57	18.5	22.67	25.68	97.5
ID33	Gorgias	Ipswich	2020	54.04	9.65	70.56	75.07	3.735	18.7	23	25.68	97.5
ID34	Gorgias	Arkham	2021	43.39	9.06	53.585	55.02	3.2	16	22.9	25.93	66.625
ID35	Gorgias	Dunwich	2021	44.32	8.48	54.47	55.43	2.45	15.9	22.29	25.93	66.625
ID36	Gorgias	Ipswich	2021	45.93	8.75	52.7	55.35	2.825	16	22.59	25.93	66.625
ID37	Gorgias	Innsmouth	2021	48.5	9.12	52.35	50.92	3.54	15.8	22.64	25.38	71.38
ID38	Gorgias	Innsmouth	2021	48.17	8.52	53.43	51.6	3.21	15.7	20.12	25.38	71.38
ID39	Gorgias	Innsmouth	2021	47.41	9.09	50.01	50.76	3.375	15.9	21.38	25.38	71.38
ID40	Gorgias	Dunwich	2021	41.01	8.4	69.88	58.57	1.41	21.7	11.83	25.23	124.15
ID41	Gorgias	Ipswich	2021	40.9	8.37	71.305	61.56	1.8	21.5	12.95	25.23	124.15
ID42	Gorgias	Arkham	2021	42.72	8.42	72.73	58.95	1.605	21.8	12.39	25.23	124.15
ID43	Sweet	Dunwich	2020	47.3	19.59	78.54	76.85	8.33	13.4	46.28	25.675	97.5
ID44	Sweet	Dunwich	2020	48.02	18.7	78.88	74.83	8.14	13.5	45.85	25.675	97.5
ID45	Sweet	Dunwich	2020	47.92	20.7	78.14	78.5	8.235	13.5	46.06	25.675	97.5
ID46	Sweet	Ipswich	2020	52.89	27.82	76.54	82.46	9.28	19.4	66.02	25.95	72.73
ID47	Sweet	Ipswich	2020	53.94	27.65	76.52	82.36	8.5	19.4	67.43	25.95	72.73
ID48	Sweet	Ipswich	2020	53.26	27.14	76.7	82	8.89	19.4	66.72	25.95	72.73
ID49	Sweet	Arkham	2022	55.49	41.3	77.96	72.88	6.62	12.4	73.46	24.75	40.65
ID50	Sweet	Arkham	2022	55.04	39.95	78.01	73.99	5.88	12.3	72.58	24.75	40.65
ID51	Sweet	Arkham	2022	54.35	40.36	78.02	72.4	6.25	12.5	73.02	24.75	40.65
ID52	Sweet	Dunwich	2022	54.35	39.65	76.06	68.78	5.77	17.1	73.84	25.93	66.63
ID53	Sweet	Dunwich	2022	54.97	38.76	75.53	71.86	5.92	17.2	73.07	25.93	66.63
ID54	Sweet	Dunwich	2022	54.73	38.77	75.28	72.8	5.845	17.1	73.46	25.93	66.63
ID55	Sweet	Arkham	2022	56.71	58.94	76.79	75.32	7.65	17.4	75.11	25.57	110.87
ID56	Sweet	Arkham	2022	57.92	62.31	77.27	77.24	8.19	17.1	71.83	25.57	110.87
ID57	Sweet	Arkham	2022	56.36	58.58	75.22	75.35	7.92	17.4	73.47	25.57	110.87
ID58	Sweet	Dunwich	2022	58.46	66.01	77.14	76.08	8.67	18.5	73.6	25.225	124.15
ID59	Sweet	Dunwich	2022	56.18	65.82	77.08	76.04	8.1	18.7	72.81	25.225	124.15
ID60	Sweet	Dunwich	2022	57.66	63.54	77.42	76.1	8.385	18.6	73.21	25.225	124.15
ID61	Sweet	Ipswich	2022	55.17	53.21	78.86	82.19	8.13	16.9	72.44	23.775	150.43
ID62	Sweet	Ipswich	2022	59.68	53.66	78.24	81.34	7.92	16.8	71.11	23.775	150.43
ID63	Sweet	Ipswich	2022	58.06	53.63	78.79	81.82	8.025	16.9	71.78	23.775	150.43
